SAIP:,https://spo.nmfs.noaa.gov/sites/default/files/TMSPO183.pdf

Stock / Entity Name,Sablefish
Assessment Type,Stock Monitoring Updates
Ensemble/Multimodel Approach,NA
Asmt Year and Month,2023.08
Last Data Year,2022
Asmt Model Category,6 - Statistical Catch-at-Age (SS, ASAP, AMAK, BAM, MultifancL< CASAL)
Asmt Model Category,SS
Model Version,3.30.21.00
Lead Lab,NWFSC
Point of Contact (assessment lead),Kelli.Johnson@noaa.gov
Review Result,Full Acceptance
Catch Input Data,5.Near complete knowledge
Abundance Input Data,4.Comprehensive fishery independent
Biological Input Data,4.Track changes over time
Size/Age Composition Input Data,4.Support fishery composition
Ecosystem Linkage,3.Direct Linkage(s)

Fishing Mortality Estimates
F Year, 2022
Min F Estimate, 
Max F Estimate, 
Best F Estimate, 0.292
F Basis, Equilibrium SPR
F Unit, 1-SPR

Domestic Fishing Mortality Derive Management Quantities
Flimit, 0.55
Flimit Basis, 1-SPR_SPR45%
FMSY, 0.55
FMSY Basis, 1-SPR_SPR45%
F target, 
F target Basis, 
F/F_limit, 0.531
F/F_MSY, 0.531
F/F_target, 

Biomass Estimates
B Year, 2023
Min B. Estimate, 
Max. B Estimate, 
Best B Estimate, 117519
B Basis, Spawning Stock Biomass
B Unit, mt
MSY, 9477.8
MSY Unit, mt

Domestic Biomass Derived Management Quantities
Blimit, 46633.5
Blimit Basis, SSB25%
BMSY, 74613.6
BMSY Basis, SSB40%
B/Blimit, 2.52
B/Bmsy, 1.575
Stock Level (relative) to BMSY, ABOVE


