SAIP:,https://spo.nmfs.noaa.gov/sites/default/files/TMSPO183.pdf

Stock / Entity Name,Shortspine Thornyhead
Assessment Type,Stock Monitoring Updates
Ensemble/Multimodel Approach,NA
Asmt Year and Month,2023.05
Last Data Year,2022
Asmt Model Category,6 - Statistical Catch-at-Age (SS, ASAP, AMAK, BAM, MultifancL< CASAL)
Asmt Model Category,SS
Model Version,3.30.21.00
Lead Lab,NWFSC
Point of Contact (assessment lead),Joshua Zahner <jzahner@uw.edu>
Review Result,Full Acceptance
Catch Input Data,5.Near complete knowledge
Abundance Input Data,4.Comprehensive fishery independent
Biological Input Data,2.Empirical and proxy-based
Size/Age Composition Input Data,3.Gaps but supports age-structured assessment
Ecosystem Linkage,2.Random variation not mechanistic

Fishing Mortality Estimates
F Year, 2022
Min F Estimate, 
Max F Estimate, 
Best F Estimate, 0.44
F Basis, Equilibrium SPR
F Unit, 1-SPR

Domestic Fishing Mortality Derive Management Quantities
Flimit, 0.5
Flimit Basis, 1-SPR_SPR50%
FMSY, 0.5
FMSY Basis, 1-SPR_SPR50%
F target, 
F target Basis, 
F/F_limit, 0.88
F/F_MSY, 0.88
F/F_target, 

Biomass Estimates
B Year, 2023
Min B. Estimate, 
Max. B Estimate, 
Best B Estimate, 8716.8
B Basis, Stock Reproductive Output
B Unit, Millions of eggs
MSY, 1159.7
MSY Unit, mt

Domestic Biomass Derived Management Quantities
Blimit, 5536.3
Blimit Basis, SSB25%
BMSY, 8858.1
BMSY Basis, SSB40%
B/Blimit, 1.574
B/Bmsy, 0.984
Stock Level (relative) to BMSY, NEAR


