Category,Year,Abundance,Spawners,Spawners,Abundance,Recruitment,Catch,Catch,Fmort,Fmort
Primary,,N,Y,N,N,Y,Y,N,Y,N
Description,,Total Biomass,Spawning Output(Eggs),Female Mature Relative Spawning Biomass SSB/SSB0,Age 0+ biomass,Abundance at Age 0,Modeled Total Catch,Modeled Total Catch,1-SPR,Relative Exploitation Rate (Catch/Age 0+ biomass)
Unit,,Metric Tons,Billions of eggs,Rate,Metric Tons,Number x 1000,Metric Tons,Number x 1000,Rate,Rate
,1892,10703.1,1490.34,1,10703.1,3411.52,0.5,0.49,0.001,0
,1893,10702.7,1490.27,1,10702.7,3411.51,0.5,0.49,0.001,0
,1894,10702.2,1490.19,1,10702.2,3411.49,0.5,0.49,0.001,0
,1895,10701.8,1490.12,1,10701.8,3411.47,0.12,0.12,0,0
,1896,10701.8,1490.1,1,10701.8,3411.47,0.04,0.04,0,0
,1897,10701.9,1490.11,1,10701.9,3411.47,0.04,0.04,0,0
,1898,10702,1490.11,1,10702,3411.47,0.02,0.02,0,0
,1899,10702.1,1490.13,1,10702.1,3411.48,0.04,0.04,0,0
,1900,10702.2,1490.14,1,10702.2,3411.48,0.04,0.04,0,0
,1901,10702.3,1490.15,1,10702.3,3411.48,0.06,0.06,0,0
,1902,10702.3,1490.16,1,10702.3,3411.48,0.06,0.06,0,0
,1903,10702.3,1490.17,1,10702.3,3411.49,0.08,0.08,0,0
,1904,10702.4,1490.18,1,10702.4,3411.49,0.1,0.1,0,0
,1905,10702.4,1490.18,1,10702.4,3411.49,0.1,0.1,0,0
,1906,10702.4,1490.18,1,10702.4,3411.49,0.12,0.12,0,0
,1907,10702.3,1490.18,1,10702.3,3411.49,0.12,0.12,0,0
,1908,10702.3,1490.17,1,10702.3,3411.49,0.14,0.14,0,0
,1909,10702.3,1490.17,1,10702.3,3411.48,0.16,0.16,0,0
,1910,10702.2,1490.16,1,10702.2,3411.48,0.16,0.16,0,0
,1911,10702.2,1490.15,1,10702.2,3411.48,0.18,0.18,0,0
,1912,10702.1,1490.14,1,10702.1,3411.48,0.2,0.2,0,0
,1913,10702,1490.12,1,10702,3411.47,0.2,0.2,0,0
,1914,10701.9,1490.11,1,10701.9,3411.47,0.22,0.22,0,0
,1915,10701.9,1490.09,1,10701.9,3411.47,0.22,0.22,0,0
,1916,10701.8,1490.08,1,10701.8,3411.46,0.24,0.23,0,0
,1917,10701.7,1490.06,1,10701.7,3411.46,0.26,0.25,0,0
,1918,10701.6,1490.04,1,10701.6,3411.46,0.26,0.25,0,0
,1919,10701.5,1490.02,1,10701.5,3411.45,0.28,0.27,0,0
,1920,10701.4,1490,1,10701.4,3411.45,0.3,0.29,0,0
,1921,10701.3,1489.98,1,10701.3,3411.44,0.3,0.29,0,0
,1922,10701.2,1489.96,1,10701.2,3411.44,0.32,0.31,0,0
,1923,10701.1,1489.94,1,10701.1,3411.43,0.32,0.31,0,0
,1924,10701,1489.92,1,10701,3411.43,0.34,0.33,0,0
,1925,10700.9,1489.9,1,10700.9,3411.43,0.36,0.35,0,0
,1926,10700.8,1489.88,1,10700.8,3411.42,0.36,0.35,0,0
,1927,10700.7,1489.86,1,10700.7,3411.42,0.38,0.37,0,0
,1928,10700.6,1489.84,1,10700.6,3411.41,0.66,0.65,0.001,0
,1929,10700.2,1489.78,1,10700.2,3411.4,1.77,1.72,0.002,0
,1930,10698.8,1489.55,0.999,10698.8,3411.35,2.25,2.19,0.002,0
,1931,10697,1489.25,0.999,10697,3411.28,1.35,1.31,0.001,0
,1932,10696.3,1489.1,0.999,10696.3,3411.25,0.56,0.41,0.001,0
,1933,10696.5,1489.06,0.999,10696.5,3411.24,0.69,0.59,0.001,0
,1934,10696.5,1489.02,0.999,10696.5,3411.23,0.65,0.63,0.001,0
,1935,10696.6,1489.02,0.999,10696.6,3411.23,0.56,0.47,0.001,0
,1936,10696.8,1489.03,0.999,10696.8,3411.23,2.19,1.88,0.002,0
