Category,Year,Abundance,Spawners,Spawners,Abundance,Recruitment,Catch,Catch,Fmort,Fmort,Fmort
Primary,,N,Y,N,N,Y,Y,N,N,Y,N
Description,,Total Biomass,Spawning Output(Eggs),Female Mature Relative Spawning Biomass SSB/SSB0,Age 3+ biomass,Abundance at Age 0,Modeled Total Catch,Modeled Total Catch,_abs_F,1-SPR,Relative Exploitation Rate (Catch/Age 3+ biomass)
Unit,,Metric Tons,Billions of eggs,Rate,Metric Tons,Number x 1000,Metric Tons,Number x 1000,Rate,Rate,Rate
,1916,2018.26,201.16,1.001,2000.72,241.67,0.12,0.08,1e-04,0.001,0
,1917,2018.26,201.16,1,2000.73,241.71,0.19,0.13,1e-04,0.001,0
,1918,2018.22,201.15,1,2000.68,241.75,0.18,0.12,1e-04,0.001,0
,1919,2018.21,201.15,1,2000.67,241.8,0.11,0.07,1e-04,0.001,0
,1920,2018.3,201.15,1,2000.75,241.86,0.12,0.08,1e-04,0.001,0
,1921,2018.39,201.16,1,2000.84,241.92,0.1,0.07,1e-04,0.001,0
,1922,2018.53,201.17,1.001,2000.97,241.98,0.1,0.07,0,0.001,0
,1923,2018.69,201.18,1.001,2001.13,242.05,0.13,0.09,1e-04,0.001,0
,1924,2018.84,201.19,1.001,2001.27,242.13,0.18,0.12,1e-04,0.001,0
,1925,2018.97,201.2,1.001,2001.4,242.21,0.2,0.13,1e-04,0.001,0
,1926,2019.11,201.2,1.001,2001.54,242.3,0.24,0.16,1e-04,0.002,0
,1927,2019.24,201.21,1.001,2001.66,242.4,0.2,0.14,1e-04,0.001,0
,1928,2019.44,201.22,1.001,2001.86,242.51,0.2,0.15,1e-04,0.001,0
,1929,2019.68,201.24,1.001,2002.08,242.63,0.22,0.17,1e-04,0.002,0
,1930,2019.93,201.26,1.001,2002.32,242.76,0.26,0.2,1e-04,0.002,0
,1931,2020.18,201.28,1.001,2002.57,242.9,0.25,0.21,1e-04,0.002,0
,1932,2020.47,201.3,1.001,2002.85,243.05,0.34,0.27,2e-04,0.002,0
,1933,2020.73,201.31,1.001,2003.1,243.21,0.21,0.19,1e-04,0.002,0
,1934,2021.15,201.35,1.001,2003.51,243.4,0.3,0.27,2e-04,0.002,0
,1935,2021.54,201.38,1.002,2003.88,243.59,0.6,0.48,3e-04,0.004,0
,1936,2021.69,201.38,1.002,2004.02,243.8,0.44,0.37,2e-04,0.003,0
,1937,2022.07,201.4,1.002,2004.39,244.03,1.19,0.9,6e-04,0.008,0.001
,1938,2021.8,201.35,1.001,2004.1,244.27,0.71,0.58,4e-04,0.005,0
,1939,2022.1,201.37,1.002,2004.38,244.54,0.49,0.42,2e-04,0.004,0
,1940,2022.71,201.41,1.002,2004.98,244.84,0.53,0.42,3e-04,0.004,0
,1941,2023.38,201.45,1.002,2005.63,245.16,0.59,0.46,3e-04,0.004,0
,1942,2024.11,201.5,1.002,2006.33,245.5,0.14,0.12,1e-04,0.001,0
,1943,2025.39,201.61,1.003,2007.59,245.87,0.2,0.17,1e-04,0.001,0
,1944,2026.71,201.72,1.003,2008.89,246.27,0.08,0.08,0,0.001,0
,1945,2028.25,201.85,1.004,2010.4,246.69,0.16,0.14,1e-04,0.001,0
,1946,2029.82,201.99,1.005,2011.94,247.14,0.2,0.19,1e-04,0.002,0
,1947,2031.46,202.13,1.005,2013.55,247.6,0.74,0.74,4e-04,0.006,0
,1948,2032.64,202.23,1.006,2014.69,248.06,1.78,1.79,9e-04,0.015,0.001
,1949,2032.84,202.24,1.006,2014.86,248.51,2.32,2.31,0.0012,0.019,0.001
,1950,2032.61,202.2,1.006,2014.6,248.93,3.15,3.11,0.0016,0.026,0.002
,1951,2031.68,202.08,1.005,2013.64,249.31,5.84,4.7,0.0029,0.042,0.003
,1952,2028.44,201.69,1.003,2010.37,249.62,4.47,4.04,0.0022,0.034,0.002
,1953,2026.82,201.48,1.002,2008.72,249.88,4.13,4.04,0.0021,0.033,0.002
,1954,2025.76,201.33,1.001,2007.64,250.01,8.56,8.63,0.0043,0.069,0.004
,1955,2020.28,200.78,0.999,2002.14,249.91,16.72,16.99,0.0084,0.131,0.008
,1956,2006.39,199.46,0.992,1988.24,249.62,18.31,18.56,0.0092,0.144,0.009
,1957,1991.05,197.96,0.985,1972.92,249.22,10.82,10.88,0.0055,0.088,0.005
,1958,1984.02,197.14,0.98,1965.91,249.03,10.86,10.79,0.0055,0.088,0.006
,1959,1977.58,196.36,0.977,1959.5,249.16,5.91,5.84,0.003,0.049,0.003
,1960,1976.91,196.13,0.975,1958.84,250.11,6.77,6.64,0.0035,0.055,0.003
,1961,1975.93,195.92,0.974,1957.83,251.69,9.63,8.98,0.0049,0.075,0.005
,1962,1972.6,195.49,0.972,1954.42,253.93,6.55,6.22,0.0034,0.052,0.003
,1963,1972.97,195.42,0.972,1954.66,257.76,6.98,6.73,0.0036,0.056,0.004
,1964,1973.52,195.37,0.972,1955.02,265.18,11.76,11.8,0.006,0.095,0.006
,1965,1969.87,194.91,0.969,1951.02,280.98,17.35,17.35,0.0089,0.136,0.009
,1966,1961.71,193.95,0.965,1942.18,310.06,43.74,44.53,0.0225,0.309,0.023
,1967,1928.28,190.51,0.948,1907.37,351.68,50.62,51.41,0.0265,0.351,0.027
,1968,1892.08,186.35,0.927,1868.89,379.34,59.24,61.38,0.0317,0.403,0.032
,1969,1854.19,181.46,0.903,1828.31,322.6,46.97,50,0.0257,0.344,0.026
